,sys_calls,no_of_calls,avg_time(ms)
0,poll,5719,5.12
1,recvmsg,6343,0.031
2,writev,1994,0.042
3,pread64,110,0.209
4,read,123,0.109
5,stat,422,0.031
6,openat,158,0.053
7,access,152,0.05
8,lseek,72,0.056
9,futex,19,0.129
10,mkdir,72,0.028
11,write,55,0.035
12,clock_gettime,265,0.007
13,getuid,144,0.006
14,mmap,12,0.07
15,fstat,86,0.009
16,getpid,34,0.019
17,mprotect,3,0.211
18,close,86,0.007
19,clone,1,0.431
20,uname,4,0.099
21,fcntl,13,0.027
22,munmap,1,0.336
23,getdents64,2,0.164
24,lstat,3,0.078
25,recvfrom,18,0.013
26,getrandom,1,0.01
