
 Summary of events:

 bash (8588), 185 events, 98.9%

   syscall            calls  errors  total       min       avg       max       stddev
                                     (msec)    (msec)    (msec)    (msec)        (%)
   --------------- --------  ------ -------- --------- --------- ---------     ------
   wait4                  2      1     5.253     0.008     2.626     5.245     99.70%
   clone                  1      0     0.467     0.467     0.467     0.467      0.00%
   ioctl                 15      0     0.211     0.006     0.014     0.023     10.57%
   rt_sigaction          21      0     0.153     0.007     0.007     0.012      3.45%
   stat                  10      3     0.138     0.008     0.014     0.025     15.77%
   rt_sigprocmask        14      0     0.116     0.005     0.008     0.022     13.79%
   access                 4      0     0.042     0.009     0.010     0.015     13.93%
   write                  2      0     0.037     0.012     0.019     0.026     37.73%
   getegid                4      0     0.028     0.007     0.007     0.007      1.64%
   geteuid                4      0     0.027     0.007     0.007     0.007      1.01%
   getuid                 4      0     0.027     0.007     0.007     0.007      0.40%
   getgid                 4      0     0.027     0.006     0.007     0.007      1.87%
   pipe                   1      0     0.018     0.018     0.018     0.018      0.00%
   read                   1      0     0.012     0.012     0.012     0.012      0.00%
   close                  2      0     0.012     0.005     0.006     0.007     12.86%
   setpgid                1      0     0.010     0.010     0.010     0.010      0.00%
   fcntl                  1      0     0.007     0.007     0.007     0.007      0.00%
   pselect6               1      0     0.000     0.000     0.000     0.000      0.00%


