    PID     LWP TTY          TIME CMD
      1       1 ?        00:00:02 systemd
      2       2 ?        00:00:00 kthreadd
      3       3 ?        00:00:00 rcu_gp
      4       4 ?        00:00:00 rcu_par_gp
      6       6 ?        00:00:00 kworker/0:0H
      9       9 ?        00:00:00 mm_percpu_wq
     10      10 ?        00:00:03 ksoftirqd/0
     11      11 ?        00:00:06 rcu_sched
     12      12 ?        00:00:00 migration/0
     13      13 ?        00:00:00 idle_inject/0
     14      14 ?        00:00:00 cpuhp/0
     15      15 ?        00:00:00 kdevtmpfs
     16      16 ?        00:00:00 netns
     17      17 ?        00:00:00 rcu_tasks_kthre
     18      18 ?        00:00:00 rcu_tasks_rude_
     19      19 ?        00:00:00 rcu_tasks_trace
     20      20 ?        00:00:00 kauditd
     21      21 ?        00:00:00 khungtaskd
     22      22 ?        00:00:00 oom_reaper
     23      23 ?        00:00:00 writeback
     24      24 ?        00:00:00 kcompactd0
     25      25 ?        00:00:00 ksmd
     26      26 ?        00:00:00 khugepaged
     72      72 ?        00:00:00 kintegrityd
     73      73 ?        00:00:00 kblockd
     74      74 ?        00:00:00 blkcg_punt_bio
     75      75 ?        00:00:00 tpm_dev_wq
     76      76 ?        00:00:00 ata_sff
     77      77 ?        00:00:00 md
     78      78 ?        00:00:00 edac-poller
     79      79 ?        00:00:00 devfreq_wq
     80      80 ?        00:00:00 watchdogd
     82      82 ?        00:00:00 pm_wq
     84      84 ?        00:00:40 kswapd0
     85      85 ?        00:00:00 ecryptfs-kthrea
     87      87 ?        00:00:00 kthrotld
     88      88 ?        00:00:00 acpi_thermal_pm
     89      89 ?        00:00:00 scsi_eh_0
     90      90 ?        00:00:00 scsi_tmf_0
     91      91 ?        00:00:00 scsi_eh_1
     92      92 ?        00:00:00 scsi_tmf_1
     94      94 ?        00:00:00 vfio-irqfd-clea
     96      96 ?        00:00:00 ipv6_addrconf
    105     105 ?        00:00:00 kstrp
    108     108 ?        00:00:00 zswap-shrink
    109     109 ?        00:00:00 kworker/u3:0
    114     114 ?        00:00:00 charger_manager
    149     149 ?        00:00:00 scsi_eh_2
