UID          PID    PPID     LWP  C NLWP STIME TTY          TIME CMD
root           1       0       1  0    1 17:55 ?        00:00:02 /sbin/init splash
root           2       0       2  0    1 17:55 ?        00:00:00 [kthreadd]
root           3       2       3  0    1 17:55 ?        00:00:00 [rcu_gp]
root           4       2       4  0    1 17:55 ?        00:00:00 [rcu_par_gp]
root           6       2       6  0    1 17:55 ?        00:00:00 [kworker/0:0H]
root           9       2       9  0    1 17:55 ?        00:00:00 [mm_percpu_wq]
root          10       2      10  0    1 17:55 ?        00:00:02 [ksoftirqd/0]
root          11       2      11  0    1 17:55 ?        00:00:06 [rcu_sched]
root          12       2      12  0    1 17:55 ?        00:00:00 [migration/0]
root          13       2      13  0    1 17:55 ?        00:00:00 [idle_inject/0]
root          14       2      14  0    1 17:55 ?        00:00:00 [cpuhp/0]
root          15       2      15  0    1 17:55 ?        00:00:00 [kdevtmpfs]
root          16       2      16  0    1 17:55 ?        00:00:00 [netns]
root          17       2      17  0    1 17:55 ?        00:00:00 [rcu_tasks_kthre]
root          18       2      18  0    1 17:55 ?        00:00:00 [rcu_tasks_rude_]
root          19       2      19  0    1 17:55 ?        00:00:00 [rcu_tasks_trace]
root          20       2      20  0    1 17:55 ?        00:00:00 [kauditd]
root          21       2      21  0    1 17:55 ?        00:00:00 [khungtaskd]
root          22       2      22  0    1 17:55 ?        00:00:00 [oom_reaper]
root          23       2      23  0    1 17:55 ?        00:00:00 [writeback]
root          24       2      24  0    1 17:55 ?        00:00:00 [kcompactd0]
root          25       2      25  0    1 17:55 ?        00:00:00 [ksmd]
root          26       2      26  0    1 17:55 ?        00:00:00 [khugepaged]
root          72       2      72  0    1 17:55 ?        00:00:00 [kintegrityd]
root          73       2      73  0    1 17:55 ?        00:00:00 [kblockd]
root          74       2      74  0    1 17:55 ?        00:00:00 [blkcg_punt_bio]
root          75       2      75  0    1 17:55 ?        00:00:00 [tpm_dev_wq]
root          76       2      76  0    1 17:55 ?        00:00:00 [ata_sff]
root          77       2      77  0    1 17:55 ?        00:00:00 [md]
root          78       2      78  0    1 17:55 ?        00:00:00 [edac-poller]
root          79       2      79  0    1 17:55 ?        00:00:00 [devfreq_wq]
root          80       2      80  0    1 17:55 ?        00:00:00 [watchdogd]
root          82       2      82  0    1 17:55 ?        00:00:00 [pm_wq]
root          84       2      84  0    1 17:55 ?        00:00:37 [kswapd0]
root          85       2      85  0    1 17:55 ?        00:00:00 [ecryptfs-kthrea]
root          87       2      87  0    1 17:55 ?        00:00:00 [kthrotld]
root          88       2      88  0    1 17:55 ?        00:00:00 [acpi_thermal_pm]
root          89       2      89  0    1 17:55 ?        00:00:00 [scsi_eh_0]
root          90       2      90  0    1 17:55 ?        00:00:00 [scsi_tmf_0]
root          91       2      91  0    1 17:55 ?        00:00:00 [scsi_eh_1]
root          92       2      92  0    1 17:55 ?        00:00:00 [scsi_tmf_1]
root          94       2      94  0    1 17:55 ?        00:00:00 [vfio-irqfd-clea]
root          96       2      96  0    1 17:55 ?        00:00:00 [ipv6_addrconf]
root         105       2     105  0    1 17:55 ?        00:00:00 [kstrp]
root         108       2     108  0    1 17:55 ?        00:00:00 [zswap-shrink]
root         109       2     109  0    1 17:55 ?        00:00:00 [kworker/u3:0]
root         114       2     114  0    1 17:55 ?        00:00:00 [charger_manager]
root         149       2     149  0    1 17:55 ?        00:00:00 [scsi_eh_2]
root         152       2     152  0    1 17:55 ?        00:00:00 [scsi_tmf_2]
root         154       2     154  0    1 17:55 ?        00:00:15 [kworker/0:1H-kblockd]
root         174       2     174  0    1 17:55 ?        00:00:00 [jbd2/sda5-8]
root         175       2     175  0    1 17:55 ?        00:00:00 [ext4-rsv-conver]
root         214       1     214  0    1 17:55 ?        00:00:01 /lib/systemd/systemd-journald
root         235       1     235  0    1 17:55 ?        00:00:00 /lib/systemd/systemd-udevd
root         236       2     236  0    1 17:55 ?        00:00:00 [irq/18-vmwgfx]
root         237       2     237  0    1 17:55 ?        00:00:00 [ttm_swap]
root         248       2     248  0    1 17:55 ?        00:00:00 [loop0]
root         249       2     249  0    1 17:55 ?        00:00:00 [loop1]
root         252       2     252  0    1 17:55 ?        00:00:00 [loop2]
root         253       2     253  0    1 17:55 ?        00:00:00 [loop3]
root         261       2     261  0    1 17:55 ?        00:00:00 [loop4]
root         265       2     265  0    1 17:55 ?        00:00:00 [loop5]
root         266       2     266  0    1 17:55 ?        00:00:00 [loop6]
root         270       2     270  0    1 17:55 ?        00:00:00 [loop7]
root         286       2     286  0    1 17:55 ?        00:00:00 [iprt-VBoxWQueue]
root         331       2     331  0    1 17:55 ?        00:00:00 [cryptd]
systemd+     492       1     492  0    1 17:55 ?        00:00:01 /lib/systemd/systemd-resolved
systemd+     493       1     493  0    2 17:55 ?        00:00:00 /lib/systemd/systemd-timesyncd
systemd+     493       1     503  0    2 17:55 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         525       1     525  0    3 17:55 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         525       1     531  0    3 17:55 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         525       1     607  0    3 17:55 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         526       1     526  0    1 17:55 ?        00:00:00 /usr/sbin/acpid
avahi        528       1     528  0    1 17:55 ?        00:00:00 avahi-daemon: running [priya-VirtualBox.local]
